project_id,user_id,members,mentions,message_number
74,16,69 53 79 10 74 4 85 16 9,0 16 0 0 16 0 0 16 0,2 2 5 1 7 2 1 6 1
2 39 ,33,143 154 53,0 0 0,2 2 13
50,50,147 6 23 59 62,0 0 0 0 0,1 3 1 4 4
138,51,26,0,1
39 100 ,53,80 33 16 9 74,0 0 0 0 0,1 8 5 3 8
37,59,4 56 23 50 26,0 59 0 0 0,6 3 3 28 5
138,62,9 14 50,0 0 0,2 6 6
1,63,3 6,0 0,2 10
2,65,10,0,1
50,66,4 33 138 143 9,0 0 0 0,4 1 1 2
50 78 100 ,74,145 83 53 14 147 138 146,74 0 0 0 0 0,5 1 11 3 2 3
100 144 ,79,50 11 14 16,0 0 0 0,1 2 8 1
1 7 ,83,69 56 6 79 74 3 11 138 17 9 141,0 0 0 0 0 0 0 0 0 0,3 2 2 1 2 17 11 11 2 5
141 156 ,138,83 9 74 14,138 0 0 0,7 1 3 8
70,141,11 56,0 0,4 1
2,143,66 33 138 154,0 0 0,3 5 2
78,145,146 74,145 74,1 1
78,146,145 74,146 0,3 2
1 2 33 ,3,4,0,1
33 39 73 159 ,4,3 11 56 6 50 17 59 9,0 0 4 0 0 0 0,1 2 2 1 2 1 1
118,6,90 3,0 0,1 2
39 156 159 ,9,4 83 53 56 138 17,9 0 0 0 0 17,3 3 1 3 4 2
67 73 ,11,50 4 79,0 0 0,1 1 6
16 141 144 ,14,85 53 79 16 10,14 0 14 0 0,3 6 4 6 7
144,16,10 53 83 14,0 0 0 0,2 9 5 1
2 135 ,17,66 4 83 138 79 10 9 ,0 17 0 0 83 0,4 6 1 5 16 1
39,33,66 53,0 0 0,10 5 1
67 74 ,50,4 5 62 6 141,0 50 50 0 0,1 1 9 1 1
144 154 ,56,11 4 53 6 23 138 59 9 ,0 0 0 0 0 0 0 0,1 3 4 3 3 4 10 4
135 138 ,62,66 53 138 50 143 141,0 0 0 0 0,6 1 1 10 3
39,66,83 53 33 138 17 62,0 0 0 0,4 4 1 5
16 41 71 76 ,74,145 146 79 16,74 0 0,1 3 3
16 144 ,79,11 85 14 83 10 17 74,79 79 0 0 0 0,1 16 16 8 33 1
2 16 78 ,85,53 14 6 79 92,0 0 0 0 0,1 21 13 53 2
141 156 ,138,66 53 56 10 83 17 9  62,0 0 0 0 0 0 0 0 0,4 6 2 3 1 1 7 3 15
2,143,62,143,9
78,145,146 74,0,1
78,146,145,0,2
2 33 142 ,3,9 141 16,0 0 0,2 1 1
1 32 33 61 ,4,9 90  ,0 0 0,3 2 2
1 33 ,6,9 56,0 0,4 2
39 72 ,9,3 4 66 14 6 23 138,0 0 0 0 0 0 0,1 4 3 1 3 3 1
2 67 72 73 156 ,11,3 14 141,11 11 11,2 2 10
33 72 144 ,14,3 11 56 138 79 16 10 9,0 0 14 0 14 0 0,1 4 4 3 5 2 1
70,16,3 4 14 56 79 90,0 0 0 0 0 0,1 1 1 1 4 1
2,17,66 83 53 138 ,0 0 17 66 138,1 1 8 8
67,30,51,0,2
39,33,66 138 53,0 0 53 66,16 2 6
39 144 ,53,66 85 33,0 0,5 7
2 70 144 154 ,56,14 6 138 16 62,0 0 0 0 0,3 7 1 7 3
2,65,59,0,1
33 41 50 72 78 144 ,74,145 146 83,0 0,1 3
33 50 72 144 ,79,11 85 14 16 50,79 0 0 0 0,3 4 6 2 4
1 72 ,83,66 69 53 6 138 16 17,0 0 0 0 0 0,4 2 3 7 1 1
16 33 70 78 ,85,3 53 79,0 0 0,1 2 2
33 72 ,141,3 11 81 50  ,0 0 0 0 0,7 12 4 7 4
78,145,146,145,7
78,146,145 74,0 0,1 2
7 50 118 ,4,6,4,13
1 33 50 71 74 120 ,6,11 4 83 69 6,6 6 0 0,11 1 12 2
2 16 17 33 73 75 118 141 ,4,  3 6,4 0 0,6 25 1
1 7 33 78 ,6,4 59,6 0,36 2
1 2 142 ,3,11 4 5 83 147 63 9 74,0 0 0 0 0 0 0 0,2 3 1 3 9 10 10 6
39 71 73 75 141 ,4,66 11 83 85 6 9,0 4 0 0 0 0,3 4 3 1 1 9
1 74 78 ,6,69 63 154 145 4 85 11 83 14 146 59 143 9 141,0 0 0 0 0 0 0 0 0 0,3 4 2 1 1 7 1 1 2 3
39 74 159 ,9,3 4 11 66 83 14 6 92,0 0 0 0 0 0 0,1 4 6 3 1 4 2
67 72 73 74 156 ,11,3 4 81 83 56 50 9 141,11 0 0 0 0 0 0 0,5 3 3 1 2 11 13 1
17 50 144 159 ,14,69 53 56 6 154 92 11 16 143 9 141,0 0 0 0 0 0 0 0,1 3 6 3 5 1 3 1
41 144 ,16,4 83 53 14 79,16 0 0 0 0,1 3 2 1 2
39,33,66 53 154,0 0 0 0,6 3 2 2
138,47,12 51 42,0 0,1 3
17 33 67 74 ,50,147 30 23 59,0 0 0,1 2 4
138,51,5 42 12 47 62,0 0 0 0 0,3 8 1 1 1
39 144 ,53,66 80 14 33 138 16 9,0 53 0 0 0 0 33 66,2 14 7 14 5 1 13
2 144 ,56,11 14 73 153 23 138 59 ,0 56 0 0 0 0  0,1 5 1 4 12 5 6 5
67,59,50 6 56 ,0 0 0 0,8 2 10 3
1,63,90 3,0 0,7 1
2,65,10,0,2
61,69,6 83 14,0 0,1 3
17 41 144 ,74,3 83 14 79,0 0 0 0,9 24 7 1
144,79,147 74,0 0,30 9
16 78 159 ,92,85,0,10
74 156 ,138,66 4 83 53 56 10 74,0 0 0 0 0 0 0,8 1 6 1 2 2 1
50 70 72 78 ,141,6 154 74 11 83 14 85 16 143,0 0 0 0 0 0 0 0 0,10 15 2 1 1 22 20 1 5
2,143,66 14 33 138 154 92,0 143 0 0 0,2 20 1 1 2
78,146,145 6,0 6,1 1
70,147,3 23 79 10 50,0 0 0 0 147 0,9 4 11 2 8 3
7 16 71 73 100 120 ,4,56 6 23  141,0 0 0 4 0,8 2 3 1 1
1 7 16 122 ,6,4 85 83 69 141,0 0 6 0,12 1 2 1
1 39 ,9,138 11 83 16,0 9 0 9,8 2 2 15
2 67 72 73 156 ,11,6 50 154 85 83 14 59 143 9 141,0 0 0 0 141,4 1 2 3 3
138,12,51,0,3
144,14,11 83 85 56 6 79 16 63 143 154 141,0 0 0 0 0 0,8 3 2 21 3 2
37 39 ,23,4 5 147 50 26,0 23 0 0 0 0,2 29 3 3 1 10
67,30,50 51,0 0,1 2
39,33,66 53 138,0 0 0 53 66,1 5 6 32
