project_id,user_id,members,mentions,message_number
39,17,3 144 9  62,0 0 0 0,1 3 12 1
67,32,50 156 85,0 0 0,18 11 9
50 67 167 ,50,11 4 32 147 23 59,0 50 0 0 0 0,4 3 10 5 3 5
39 67 ,53,158 79,0 0,4 7
50,56,9 144 81 59,0 0 0 56,3 12 6 24
1 39 ,59,50 56,0 0,7 10
135 173 ,62,1  17 79,62 0,5 2
16 61 72 ,69,141,0 0,1 13
41 70 ,74,3 83 79 16 9 141,0 0 0,1 4 2
41 50 67 76 173 ,79,10 74 62 147,0 79 0 0,4 10 4 11
74,81,3 56 6 10 154 141,0 0 0 0 0,11 4 3 4 2
7 50 61 72 ,83,3 4 147 6 92,0 0 0 0 0,1 3 2 1 1
50 141 144 ,90,85 3 92,0 0 92,15 23 20
16 50 74 141 178 ,92,85 83 6 90,92 0 0 0 92,2 1 3 25 24
4 50 ,141,69 79 155 154 74 3 81 83 9,0 0 0 0,11 3 2 2
178,146,90,90,1
177,6,27 3 83  92,0 0 0 6 0,2 5 6 12 2
39,9,27 66 53 56 10 4 33 158 141,0 0 0 0 0 0 0 0 0,18 3 4 6 1 5 30 3 1
67 70 73 ,11,11 50 160 92 141,11 50 11 0 0 11,6 28 1 8 7
2 39 76 159 ,17,3 81  62,0 0 0,9 5 1
176,23,147 26 5,0 0 23,2 8 63
67,26,23,26 0,24 5
37 67 ,32,3 85 6 ,85 0 0,16 10 1
67 76 140 173 ,50,11 53 147 51 59 141,0 0 0 0 0 50,20 2 1 3 3 5
39 67 ,53,3 79 10 50 9,0 0 0 0 0,10 4 4 2 16
50 71 75 ,56,3 156 144 59 141,0 0 0 0 0,3 10 10 5 4
39,59,50 56,0 0,6 9
135 173 ,62,1  17 79,0 62,2 4
2,65,3,0,1
61 75 ,69,83,0 0,1 5
41 70 76 ,74,3 79 141,0 0 0,23 2 1
50 72 173 176 ,79,53 10 90 144 74 62,0 79 0 0 0 0,1 26 2 3 6 1
39 74 ,81,3 4 10 17 92,0 81 0 0 0,7 3 6 8 10
72,83,17 6 69,0 0 0,6 1 9
50 71 141 144 176 178 ,90,79 10 146 92 141,0 0 90 0 0,1 7 1 1 9
16 50 71 141 178 ,92,11 4 69 81 6 90,0 0 0 0 0 92,3 6 1 1 8 1
4,141,56 6 50 90 74 3 11 4 9 ,141 0 0 0 0 0 0 0 0,10 3 10 2 10 2 2 4 6
178,146,90,0,6
67,152,32 6 3 4 85 141 153 156 17 62,0 6 32 85 0 0 0 0 3 32 156 85,1 2 18 16 3 1 9 2 4
70 177 178 ,154,154,0,1
67,156,3  56,0 3 56,4 3
39,9,10 4 158 53,0 0 0 0,4 7 1 5
168,10,9 3 81 79,0 0 0 0,4 6 6 1
67 70 73 ,11,4 85 153 50 160,0 0 0 0 0,1 4 14 1 7
50 141 165 168 178 ,14,50 90 81 79,0 0 0 0,1 1 3 2
2 39 70 141 ,17,83 14 79  62,0 79 0 ,1 4 3 3
67,32,1,0,6
67 74 75 140 ,50,11 4 14 23 50 9 62,0 50 0 0 50 0 50,10 1 2 1 4 1 7
39 67 72 ,53,79,0,14
75,56,3 6 144,0 56 0,9 4 6
72 135 173 ,62,50  17,0 0,5 3
16 61 ,69,92 83 79,0 0 0,1 12 4
41 70 72 75 ,74,79 62,0 0,5 5
50 70 76 173 ,79,69 53 14 10 90 17 74,0 0 0 0 0 0 0,13 2 4 6 4 2 4
39 70 74 ,81,14 6 10 143 154 141,0 0 0 81 0 81,3 1 5 5 6 2
16 61 ,83,17 69 141,0 83 0,4 20 1
16 72 75 141 177 ,92,90 6 69,0 0 0,2 4 6
4 50 72 ,141,154 81 83,0 0 0,4 1 1
2 75 177 178 ,154,145 4 81 14 6 141,0 0 0 0 81 154,5 2 1 1 2
39,9,33,0,1
39,10,14,0,3
2 67 70 73 74 ,11,4,11,3
70 72 ,74,4,0,2
76 141 ,156,32,32,2
39 74 ,9,4 81 53 33 158 50,0 0 0 0 0 0,9 3 2 6 1 5
39,10,27 3,0 0,4 16
67 70 73 74 ,11,11 4 69 81 50,11 0 50 11 0 0,9 2 14 1 1
44 75 ,16,27 83,0 0,3 1
2 135 ,17,69 90 144 81 83 158  62,0 0 0 0 83  69,3 2 3 6 16
39,33,9 81 53,0 33 0,2 2 2
67 74 ,50,11 4 53 58 83 50 59 9,0 0 0 50 0 50 0 0,7 1 9 1 2 7 2 1
39 67 72 178 ,53,56 33 158 79 50 9,0 0 53 0 53 0,5 1 4 5 51 19
2 144 154 ,56,3 81 53 144 154,0 0 56 0 0,1 3 8 3 4
67,58,50,0,5
2 39 163 ,59,50,0,2
135,62,3 69 83 6 17 ,0 0 69 0,3 11 2 1
16,69,83 6 158   17  62,0 0 69 69 0 62  17 83 6 6,6 3 19 16 1 7 1 2
76,74,83 79,0 0,4 1
39 73 ,81,3 11 53 56 33 17 9 92,0 0 0 0 0 0 81,11 5 2 7 5 7 7
76 144 ,90,92 17 83 79,0 0 0 0,2 46 14 11
50 72 141 178 ,92,90 81,0 0,4 7
2 154 177 178 ,154,56,0,4
76 141 ,156,32,0,3
70,3,10,0,7
74,4,81 83 56 156 6 50 17 59 154 141,0 0 0 0 0 0,4 1 1 1 1 1
39,9,81 4 53 56 33 158 50 59 9,0 0 0 0 0,1 2 12 1 1
39,10,27 3 81 14 53,0 0 0 0 0,6 2 5 1 7
2 67 70 73 ,11,11 81 147 79 16 50,11 0 50,1 5 10
74 141 178 ,14,10,0,1
70 141 ,16,27 11 83 154,0 0 0 16,5 1 9 1
167,23,147 50 26 5,0 0 0 23,7 3 13 56
67,30,51,0,7
67,32,1,0,2
167,50,58 53 56 23 79 47 4 5 11 81 147 59 9,0 0 0 0 0 0 50 0 147 0,1 3 6 6 2 2 11 2 15 1
39 67 ,53,81 33 79 10 50 9 62,0 0 0 53 53 0,3 2 3 7 10 1
154 163 ,56,50 154 59,0 0 0,3 6 2
67,58,50 5 32,0 58 58,1 2 9
67,59,4 56 50 9,0 0 0,3 8 1
135 173 ,62,53 62,0 0,3 1
1,63,27 26 51,51,4
61,69,83 62 6 158 17  141,0 0 0 17 83 6,1 7 1 1 10
41 144 ,74,90,0,1
67,85,153  92 32,0 0 0,35 6 1
70 74 141 154 ,90,69 79 90 92 74,0 0 90 0 0,1 1 6 1 6
72 141 ,92,85 90 83,0 0 0,10 19 8
74,153,85,0,11
2 70 154 177 178 ,154,4 83 56 6 16 141,0 154 0,1 8 1
76 141 ,156,1  17 81 4,0 4 17,2 2
39,9,4 81 53 33 158 17,0 0 0 0 0 0,2 3 5 7 13 13
2 39 ,10,27 3 53,0 0 0,2 13 1
2 73 74 ,11,3 4 81 153 147 79 16 50 51,0 11 0 11 11 153 0,20 23 4 4 4 1 1
74,14,90,0,5
141,16,3 11 74,0 0 0,1 3 4
2 39 61 70 74 135 ,17,9,0,1
67,50,58 23 30 79 11 4 81 153 147 51 59,0 0 0 0 0 153 0 0,1 3 2 1 3 1 2 1
39 67 178 ,53,10 9 81 158,0 0 0 53,3 1 3 12
144,56,4 59,0 0 0,4 6 2
70 135 ,62,79,0,7
76,74,90 83 16,0 0 0,2 7 3
2,81,53 56 6 50 143 9,81 0 0 0 0 0,6 14 7 1 3 2
50 74 154 176 178 ,90,4 14 79 74,0 0 90 0 0,1 9 7 13 1
67,144,69,0,1
74,153,50 11 85,0 0,2 2
2 72 177 178 ,154,17 56,0 0,1 1
141,155,141,0,3
39,9,11 81 53 4 33 56 158 50 17 59,0 0 0 0 0 0 0,11 16 10 8 1 3 1
39,10,27 81,0 0,1 2
70 73 ,11,3 4 11 16 50 51 9,11 0 0 11 0 50 11 0,95 1 9 2 9 4 1
44 141 ,16,11 92,0 0,10 1
141 176 ,17,81 4 83 69 156 9  154 62,0 0 0 0 0 156 69,15 4 1 4 2 1 1
74,50,11 85 4 56 147 79 59 9 62,0 0 0 0 0,1 5 3 2 6
39 72 ,53,81 33 79 9,53 0 0,7 2 1
75 154 ,56,4 50 59 9,4 59 0,3 1
70 135 ,62,50 17 79,0 0,1 8
67,73,27,73,1
75 76 ,74,85,0,16
50 70 176 ,90,156 69 14 79,0 0 0 0,5 2 9 7
72 141 177 ,92,4 81,0 0,1 7
178,145,146 154,145 0,3 6
74,153,4 85,0 0,1 8
70 154 ,154,145 10 146 65 17,0 0 65 154,1 2 2 6
141,16,11,0,1
76,74,83,0,14
67 74 ,153,50 11,153,2
141,16,16,16,3
67,32,27,0,1
2,65,10 154,154,2
2,154,10 65,65,9
2 70 176 ,17,1,0,4
67 179 ,50,62,0,1
135,62,50,0,1
2,65,65,0,1
2 177 178 ,154,6,0,1
2,10,3 4 56 65 9,0 0,2 1
141,17,138,0,7
67 179 ,50,153 11 4,50 0,14 3
2,65,10,0,1
67,144,32 56,0 0,2 3
74,147,4,147,7
70 74 177 ,154,154 6 4,154 0 0,3 2 1
39,9,66 56 10 3 4 81 14 158 162,0 0 0 0 0 0 0 0 0,26 2 1 2 2 13 15 6 1
74 76 141 ,14,9 90,0 0,2 2
141,16,3 11 83 16,0 0 0 0,8 1 3 1
67 176 ,23,50 26 5,0 0 0,25 4 7
67,50,4 23,0 0,3 3
39 67 72 ,53,92 33,0 0,2 4
70 75 ,56,3 81 4 59,0 0 0,1 8 2
2,65,3,0,1
70 141 ,90,14,0,1
4 70 ,141,6,141,3
39,162,9,0,1
39,9,69 53 6 90 50 3 11 4 5 81 83 158 17 162,0 0 0 0 0 0 158 0 0,4 3 1 2 7 3 7 2 1
73 74 75 ,11,66 56 6 10 50 3 11 33 153 156 138 16 ,0 0 0 0 6 153,5 2 1 2 1 2
74 141 ,14,17,0,1
44 141 ,16,11 83 63,0 0 16,2 10 3
2 16 71 141 159 176 ,17,69 6 79 50 90 26 92 3 4 83 14 81 9,0 0 0 0 4 6 0,2 1 1 4 1 4
67 176 177 ,23,3 4 5 56 23 79 50 26,0 23 23 23 0 0 4 0,9 2 17 30 6 11 3 3
67,30,50,0,4
67,50,69 23 30 6 92 3 11 5 83 4 81 153 17 59 9 62,0 0 0 0 0 0 0 0 0 6,1 1 12 3 1 3 2 1 1 5
39 178 ,53,83 33 158 79 10 9 74 162,0 0 0 0 0 0 0 0,1 3 5 4 2 2 4 1
76,56,23 4 81 59,0 0 0,8 1 1
67,59,27 50 4 56,0 0 0,1 5 4
135,62,50 92,0 0,4 2
1,63,16,0,7
2,65,10,0,1
61,69,6 50 3 4 83 81 17 9,0 6,1 1
50 76 ,74,83 53 162,0 0,12 1
39 178 ,81,3 81 4 69 56 33 83 6 158 10 50 17 9,0 0 0 0 0 0 0 0,9 9 3 2 2 2 2 1
72 74 141 176 180 ,90,4 14 79 17 9 92 141,0 0 0 90 0 0 0,1 4 1 6 21 3 2
16 141 ,92,6 138 90 17 62,0 0 0 0 0,3 3 1 10 12
39,162,83 53 158 74 162,0 0 0 0 0,1 5 1 2 1
72 178 ,6,81 83 4 69 16 63 74,0 0 0 0 0,4 3 5 1 1
39 76 ,9,4 83 81 56 158 50 59 162,0 0 0 0 0 0 0,7 1 5 1 6 2 1
73 74 75 ,11,153 50 69,11 153 50,13 10
2 70 76 175 ,17,66 81 4 83 33 138 65  62,0 17 0 33 138,11 18 15 6 2
67 176 ,23,58 5 56 147 50 26 59,0 0 23 0 0 58 59 26 5 56,13 2 2 11 5 15
67,32,153,0,7
67,50,23 4 5 62,0 0 0 0,3 1 2 9
39 72 ,53,9 158 162,0 0 53 158,1 9 42
74 75 76 ,56,58 5 4 23 50 26 59 9 141,0 0 59 0 59,1 16 2 9 1
67,59,27 4 56 10 50 9,0 0,3 4
70 135 ,62,66 50 83 33 138 17 ,0 0 0 0,8 14 2 5
1,63,6 16,0 63,1 8
2,65,17,0,13
61,69,11 83 4 6,0 0 0,9 7 1
41 50 70 76 ,74,3 6 79,0 0 0,15 13 4
39 178 ,81,4 81 33 6 10 17 9,0 0 0 0 0 0 0,2 5 3 1 16 2 5
72,83,69 6 3 4 138 16 17 62 162,0 0 0 0 0 0 0 0 0,37 1 1 2 9 21 2 1 1
74 141 178 ,90,6 85,90 0,1 3
141 177 178 ,92,138,0,4
4 72 ,141,11 56,0 0,4 18
181,147,23,0,24
177 178 ,154,10 6,0 0,1 3
39,162,9 83 53,0 53 0,2 24 2
177,6,4 83 69 30 9 154 92 141,0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1
39 159 ,9,66 53 6 4 14 33 158 17 141,0 0 0 0 0 0 0 0 0,6 6 2 4 1 2 1 1 18
2 70 72 73 74 75 ,11,3 11 69 83 56 81 147 85 50,0 11 11 0 83 0,6 2 3 1 4 1
74 141 ,14,9 90 141,0 0 0,1 12 1
76,17,66 26 81 83 33 138 9  62,0 0 0 33 138 17 83,3 1 1 16 1
74 176 ,23,4 26 79,0 0 0,3 5 3
67,30,6 51,0 0,1 2
39,33,66 55 138 17 9  62 162,0 0 33 0,2 3 5 3
67,50,4 11 85 81 147 30 59 141,0 0 0 0,1 5 1 4
39 67 ,53,3 4 79 9 162,0 0 0 0 0,1 2 2 4 2
71 74 ,56,3 11 4 5 23 26 59 141,0 4 0 58 56 59 0 5 26,10 3 2 9 5 7
16 135 173 ,62,66 4 33 138 17  141,0 0 0,4 1 3
1,63,16,0,1
61,69,6 4 83,69,3
50 76 ,74,79 141,0 0,15 1
72 74 141 180 ,90,92 14,90 90,18 1
141 178 ,92,90  6 141,0 0 0 0,2 1 1 3
70 72 ,141,69 79 155 50 90 154 74 92 3 11 81 14 17 9  56 6 10 145 4 83 147 16 146 62,0 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 3 1 1 1 1 1 3 1 3 6 1 1 1 7 2 7 1 1 1 1 3 1 1 1
70 177 ,154,6,0,2
39 72 ,162,53 162,0 0,2 2
176,23,79,0,1
76,74,11,0,4
178,145,146 6,146 6,1
178,146,141,0,1
70 177 ,154,10 69 141,0 154 0,2 3 1
176,17,66 4 33 138 79 90 26  62,0 0 138 79,3 18 4 2
176,23,50,0,5
178,145,146 6,0,1
72,6,145 4 83 69 146 63 92,0 0 0 0 0 0,4 10 1 4 2 2
39,9,4 81 158 162,0 0 0 0,3 15 20 7
73 74 75 ,11,11 4 81 16 50 74,0 0 0 0 0 0,2 1 1 15 6 7
165,14,3 83 16 10,0 0 0 0,1 2 7 7
72,16,11 14 10 63 74,0 16 0 0 0,1 2 1 1 3
16 176 ,17,144 26 62,0 0 0,10 10 1
74 176 ,23,50,23,10
67 74 ,50,11 23 30 50 62,50 0 0 50 0,14 8 1 2 1
70,53,158 162,0 0,1 3
74 75 163 ,56,144 4 59,0 0 59,9 2 1
39,59,27 10 56,59 0,10 9
16 135 ,62,66 50 92 33 138 17 ,62 0 0 62,10 2 2 2
1,63,3 6 16,0 0 0,13 8 1
41 76 ,74,11 79 16,0 0 0,8 1 5
176,79,74,0,3
39,81,9 11 81 33,0 0 81 0,11 16 19 3
72,83,66 69 14 85 6 16 17  141,0 0 0 0 0 0 0,2 9 1 3 3 3 1
50 141 ,92,6 62,92 0,4 1
4 72 ,141,83,0,3
176,147,23,0,2
70 177 ,154,4,0,2
39,158,53 144 9 162,0 0 0 0,17 2 3 1
39,162,9 158 53 162,0 0 0,1 1 2
178,6,85 63,0 0,1 3
39 74 ,9,3 4 81 11 33 158 10 141,0 0 0 0 0 0 0,8 9 8 2 1 2 6
39,10,27 9,0 10,7 13
2 67 72 73 74 ,11,79 50 90 3 83 153 16 9  141,0 0 50 11 0 0 0 153 11 0,3 1 3 3 2 2 1 7 1
141,14,138 16,0 0,2 1
39 141 176 ,17,66 53 6 155 74 141 33 138    62 162,0 0 0 0 0 0 0 0 0 0 0 0,1 2 2 2 8 1 1 1 4 2 2 3
67 74 176 ,23,26,0,18
67,30,50 51,0 0,3 1
67,50,11 4 23 30 59 141,0 50 0 0 0 0,15 2 1 3 3 1
39 67 72 ,53,33 79 17 26 92 162,0 0 53 0 0 0,1 1 4 4 2 6
2 74 ,56,3 4 5 144 59 141,56 0 0 56 0 0,1 8 2 17 2 6
1,59,50 4 56,0 0 56,6 3 4
16 50 135 ,62,17 92,0 62,12 4
1,63,6 83,0 0,1 1
41 72 ,74,17 53,0 0,1 1
176,79,90 11 53,0 79,8 12
7 17 72 ,83,66 3 11 69 138 63 141,0 0 0 0 0 0 83,4 2 5 1 4 4 7
141 176 ,90,11 92 79,0 0,4 1
141 178 ,92,14 56 6 90 62,0 92 92 0 0,1 1 1 2 5
4 72 183 ,141,69 56 6 155 50 11 83 17 9 162,0 0 0 0 0 0 0 0 0 0,3 2 3 3 1 23 3 7 2 2
70 177 178 ,154,6,154,3
141,155,144 17 141,0 0 0,1 1 2
39 72 ,162,17 53 162,0 0 0,2 1 2
39,9,4 56 158 10 50 17 59 162,0 0 0 0 0 0,1 3 3 10 3 3
39 72 ,10,10 9 90,0 0 0,2 2 10
73 74 75 ,11,69 79 90 154 3 11 4 14 81 ,0 0 0 0 0 0 0 0 81,12 2 1 1 1 3 6 6 4
74 141 ,14,11 138 16 90 92,0 0 0 0 0,3 5 4 3 1
41,16,92 4 74 14,0 16 0 0,3 5 1 2
176,17,66 4 69 62 33 138 26 9  141,0 0 0 0 0 138,4 5 1 1 5 1
176,23,50 26,0 0,20 5
39,33,158 33,0 0,1 5
70 167 ,50,4 83 141 56 147 23 59 9 62,0 0 0 0 0 0 0,10 2 2 1 2 6 1
39 67 ,53,80 162,0 0,6 3
44 50 76 ,56,27 10 50 3 4 59 9,0 56 0 9 56,1 4 1 8
2,59,4 56 50 9,0 0 0,2 1 1
16 74 135 ,62,50 69,0 0,1 7
1,63,3 83,63 0,5 1
41 50 76 ,74,79 16,0 0,2 4
50 67 74 176 ,79,11 53 158 90 74,79 0 0 0,1 5 3 3
71,83,4 138 50 63 141,0 0 0 0 0,2 2 1 2 1
74 141 ,90,14 10 146 144 155 141,0 0 0 0 0 0,9 6 1 2 1 1
50 141 ,92,9 6 14 16,0 0 0 0,4 1 3 4
16 141 ,138,66 83 14 33 17  62,0 0 0,1 1 3
4 50 71 180 183 ,141,6 50 90 83 147 17 143  162,141 141 0 0 0 0 0 0 0 0,13 8 1 2 1 4 3 1 5 8
72,152,27 66 11 4 69 62 33 153 138 17 141,4 11 27   69  32 153 156 4  138 62,1 10 55 16 2 235 2
177,154,11 6 69 81,0 0 0,2 1 1
72 141 ,156,153,153,6
39,158,9 162 79 33,0 158 0 0,10 4 3 1
39,162,53 158 9 141 162,0 0 0 0 0,1 2 3 2 1
177,6,9 92,0 0,1 7
39,9,81 83 53 33 6 158 16 10,0 0 0 0 0 0 0 0,3 12 1 21 4 30 7 4
2 39 ,10,27 5 53 16 10 26 9 154,0 0 0 0 10 0 0 0,4 4 1 1 2 4 3 2
2 50 72 73 74 75 ,11,3 81 79 90 154 141,11 0 11 0 81 154,1 4 9 2 1
75 141 ,14,16,0,4
41 141 ,16,3 4 11 14 10 63 9 154,0 0 0 0 0 0 0,11 1 2 1 2 3 1
2 70 141 176 ,17,81 53 158 79  92,0 17 0 0 0 0,1 7 1 2 7 2
67 176 ,23,147 83 79,23 0 0,45 3 1
67,30,50 51,0 0,3 4
39 67 ,53,33 79 10 50 17 9,0 0 0 0 0 0,3 6 2 4 2 26
2 70 75 144 ,56,147 3 141 59,56 0 0 0,4 1 1 3
67,59,27 10 56,0 0,3 8
1,63,3 16,0 0,4 1
2,65,65 4,0 0,2 1
16,69,83,0,4
41 75 76 ,74,11 16,0 0,1 2
75 176 ,79,27 3 53 23 90 17,0 0 0 0 0 0,2 4 41 2 27 2
39 50 178 ,81,11 83 33 6 90 17 143 9,0 81 0 0 0 0 0 0,1 27 8 3 19 3 2 6
70 71 72 ,83,69 23 50 90 17 63 9  141,0 0 0 0 0 0 0 0,8 3 7 1 7 1 1 1
70 141 176 178 ,90,81 83 11 79 92 141,90 0 0 0 0 0,4 2 3 7 1 1
50 75 141 178 ,92,17 90 6,0 0 0,3 1 6
4 50 70 72 78 183 ,141,11 4 83 56 147 6 90,0 0 0 141 0 0 0,2 1 9 3 1 4 2
70 75 177 ,154,10 11 154 81,0 0 81,1 1 2
141,155,50 144 11,0 0,3 1
75 141 ,156,153,153,18
39,9,69 53 6 10 50 55 3 4 11 81 83 33 17 162,0 0 0 0 0 0 0 0 0 0 0 0,1 11 6 4 2 1 11 2 28 2 2 1
39,10,5 53 33 16 9,0 0 10 0 0,9 3 2 4 4
73 74 75 ,11,50 154 11 4 141 81 85 147 16 17 9 62,0 11 0 11 0 0 0 17 0,4 2 2 11 1 1 1 4 1
141,16,11 83 79 10 155 63 154 74,16 0 0 0 0 0 0,1 1 2 9 1 2 2
2 74 176 ,17,66 69 6 50 92 3 11 81 4 83 33 138 9  62,0 17 17 0 0 17 11 62 138 62  0 0,1 11 9 9 7 44 7 1 1 3
176,23,147 50 5,0 0 0,8 1 9
67,26,10 53,0 0,11 9
39 67 72 ,53,83 79 10 50 26 9,0 0 0 0 0 3,3 1 5 2 7 1
50 70 144 ,56,27 66 11 5 32 33 156 6 138 10 144 51 59  47,0 0 56 0,5 2 9 1
67,59,27 32 56 47 5 51,0 0 0,2 5 7
74 135 ,62,11 17,0 0,7 4
1,63,3 6 5 16,0 0 0 0,20 1 3 1
2 141 ,65,12 144 65,0 0 0,1 2 2
41,74,85 50 83 16,0 0 0 0,1 4 2 1
50 144 176 ,79,53 16,0 0,11 6
39 178 ,81,69 6 50 3 4 83 17 9,0 81 0 0 0,1 31 11 1 1
50 72 ,83,66 69 53 6 50 90 74 92 3 81 4 33 138 16 17 9  141,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 3 4 3 1 2 1 5 3 2 4 3 1 2
141 144 178 ,90,92,0,7
16 141 178 ,92,83 14 6 90 17,0 0 0 0 0,4 1 10 2 5
141,138,66 56 62 6 10 11 83 33 156 17  141,138 0 0 138,13 1 1 3
50 144 ,141,3 11 4 83 6 143,0 0 0 0 0,8 6 3 9 2
140,147,50 23,0 0,13 8
2 50 70 177 178 ,154,10 11 16,0 154 0,1 2 1
141,155,16,0,2
39,162,9,162,2
39,9,53 79 10 144 4 81 83 33 158 162,0 0 0 0 0 0 0 0 0,1 2 8 5 17 1 8 2 4
39,10,27 83 79 90 9 92 162,0 10 0 0 0 10 0,1 6 2 1 10 1 8
73 74 ,11,50 160 74 56,0 0 0 0,2 1 3 3
141,14,53,0,1
41 141 ,16,4 83 79 92 141,0 0 0 0 0,1 17 7 1 1
16 76 141 176 ,17,  90 65 26 144  62 162,0 0 17 0 0 0 17 0,1 2 1 2 10 11 12 3
176,23,4 83 147 50 26,23 0 0 0,31 1 15 2
67,30,50 51,0 0,3 5
39,33,9 53,0 0,8 4
39 72 ,53,4 14 33 158 79 144 26 9,0 0 0 0 0 0 0 53,1 4 2 12 7 3 1 26
44 71 74 ,56,11 147 50 144 59 141,0 0 0 0 0 0,2 4 2 4 1 6
67,58,50 59,0 0,1 4
2,65,17,65,5
41 73 76 ,74,90 11 79 162,0 74 0 0,3 5 1 11
144 176 ,79,53 158 16 10 90 74,0 0 0 0 0 0,2 27 2 3 32 2
2 39 73 74 ,81,4 81 83 9 141,0 81 0 0 0,3 26 1 3 1
72,83,81 69 23 138 16 17 9  141,0 0 0 0 0 0,4 2 22 2 1 3
141 144 ,90,85 79 10 17 92,0 0 90 0 0,16 12 18 21 10
141 1 ,92,90 6 85 16,0 0 0 0,2 2 14 8
141,138,1  17 83 141,0,2
4 72 74 183 ,141,3 4 81 83 56 147 6 16,0 0 0 0 0 0 0,5 3 2 5 3 6 2
74,152,4 85 50   17,4 17 50   0,3 30 2 1 112
39,158,9 53 79 162,0 0 0 158,1 17 3 11
39,162,158 10 17 9 74,0 0 0 0 0,7 2 2 3 4
16,6,81 85 4 83 63  92 141,0 0 0 6 0 0,4 1 3 13 1 2
39,9,56 6 3 11 83 14 4 33 158,0 0 0 0 0 0,2 5 7 4 1 5
39,10,14 56 33 16 90 162,0 0 0 0 0 0,5 2 4 1 4 2
73 74 ,11,56 62 155 50 3 11 4 9 141,11 0 0 50 0 0 3 155 50,34 2 1 9 2 1 1 2
141,14,10 9,0 0,1 4
141,16,4 79 10 63 92 141,0 0 0 0 0 0,2 2 2 6 1 5
16 76 141 176 ,17,81 156 138 79    92,0 0 0 0 0 17 0,1 11 3 2 4 27 1
176,23,79,23,15
67,30,58,0,1
39,33,10 9 81 158,0 0 0 0,2 3 4 1
39 67 72 ,53,147 158 79 144 26 154,0 0 0 0 0 53,2 17 1 3 16 66
144,56,27 3 4 11 10 50 59 9,0 0 0 0 0,2 4 3 8 1
67,58,30,0,1
16 135 ,62,1  11 138,0 0 62,3 5 18
1,63,6 16,0 0,2 1
41 76 ,74,90 92 79 16,0 0 0 0,2 42 2 2
4 144 176 ,79,53 23 16 90 17 74,79 0 79 0 0 0,15 10 23 19 43 20
2 39 ,81,17 6 56 33,0 0 0 0,2 6 10 1
16,83,6 138 16 155 9 141,0 0 0 0 0 0,3 5 1 20 3 2
141 144 ,90,83 79 10 146 92 74,0 0 0 0 0 0,5 3 19 1 32 2
16 50 141 1 ,92,85 6 138 90 17 74,92 0 0 92 92 0,7 1 1 3 22 3
16 141 ,138,92 17 83 62,0 0 0 0,2 3 10 5
4 50 72 144 184 ,141,11 83 5 4 6 16,0 0 0 0 0,1 5 3 4 6
76,144,53,0,1
75,147,4 53,0 0,1 2
16,152,69 85 153 6 17 62,6 0 0 69 0 153,1 37 22 8 14 1
2 70 177 ,154,3 154 53,0 0 0,5 12 1
141,155,50 11 83,0 155,2 7
2 39 176 ,162,10,0,1
16 177 ,6,3 81 83 4 9  141,0 0 0 0 0,3 1 1 1 1
39,9,3 81 83 158,0 0 0 0,3 9 1 1
39,10,27 3 33 90 144 162,0 0 0 0 0 0,7 4 3 2 2 3
67 73 74 ,11,3 4 81 85 56 155 50 62,0 0 0 0 0 11 11 155 50,6 4 11 5 1 3 30 9
141 178 ,14,16,0,2
44 141 ,16,155 3 83 14,0 0 0 0,2 3 5 2
16 141 176 ,17,3 156 138 79 92,0 0 0 17 0,1 1 1 9 2
176 183 ,23,147 26,23 0,16 3
67,26,23 53,26 0,23 19
67,30,50,30,4
16 39 72 ,33,10 158 53,0 0 0,2 1 4
67 183 ,50,11 4 83 56 6 30 155 59,0 50 50 0 0 0 0 50,2 1 9 1 2 12 1 6
39 67 72 ,53,26 92 33,0 0 0,23 1 7
183,56,27 3 11 6 138 10 50 59 9,0 56 0 0 0 0,6 8 3 1 3 1
67,58,59,0,1
135,62,11 92,0 0,1 1
1,63,6,0,1
2,65,3,0,1
41,74,92 83 79 16,0 0 0 0,5 36 6 2
144 176 ,79,83 147 90 17 74 162,0 0 0 0 0 0,1 44 6 1 4 1
39,81,9 11 6 90,0 81 0 81,8 16 3 4
16 72 ,83,69 6 79 50 90 92 74 4 138 16,0 0 0 0 0 0 0 0 0 83,1 3 3 3 1 5 3 1 5 6
74,85,1  11 92,0 0 0,52 12 15
50 141 178 ,90,145 81 83 79 10 92 141,0 0 0 0 0 0 0,2 5 2 1 11 4 4
16 50 74 141 178 ,92,85 53 6 90 17 74,0 0 0 0 0 0,1 1 2 1 6 5
16 141 176 ,138,1  17 83,0 0 0,13 2 1
50 72 183 184 ,141,90 6,0 0,1 4
178,145,90 154,0 0,4 1
67 176 183 ,147,23 79,0 147,2 7
16,152,66 4 85 153 6 138,4 6 66 0 69 153,1 2 1 15 1 14
74 177 178 ,154,145 146,0 0,2 1
67 141 ,155,50 3 11 16,0 0 155 50,1 1 14
2 76 141 ,156,17,17,1
39 176 ,162,10 158 79 162,0 0 0 0,4 2 1 5
176,9,56 6 10 3 11 4 81 83 33,0 0 0 0 0 0 0 0 0,1 5 3 25 1 47 1 4 1
39,10,9 14,0 0,1 9
