standup_date,user_id,project_id,interest_id,time
26/06/2017,17,135,32,240
26/06/2017,30,67,30,480
26/06/2017,33,39,32,240
26/06/2017,33,50,12,240
26/06/2017,51,138,31,480
26/06/2017,53,39,29,96
26/06/2017,53,39,31,96
26/06/2017,53,78,29,96
26/06/2017,53,144,31,96
26/06/2017,56,74,27,120
26/06/2017,56,74,29,120
26/06/2017,58,67,30,480
26/06/2017,62,138,29,120
26/06/2017,62,138,32,120
26/06/2017,63,1,30,480
26/06/2017,65,2,31,480
26/06/2017,73,37,29,240
26/06/2017,74,50,12,96
26/06/2017,74,78,29,96
26/06/2017,74,144,29,96
26/06/2017,74,144,33,96
26/06/2017,83,17,17,240
26/06/2017,85,78,29,240
26/06/2017,85,78,30,240
26/06/2017,141,16,5,120
26/06/2017,141,16,29,120
26/06/2017,141,50,29,120
26/06/2017,141,78,29,120
26/06/2017,143,2,31,480
26/06/2017,145,78,29,240
26/06/2017,145,78,33,240
26/06/2017,146,78,29,240
26/06/2017,146,78,33,240
27/06/2017,4,16,37,53
27/06/2017,4,33,4,53
27/06/2017,4,33,41,53
27/06/2017,4,71,27,53
27/06/2017,4,72,12,53
27/06/2017,4,73,19,53
27/06/2017,4,73,22,53
27/06/2017,4,73,27,53
27/06/2017,6,1,29,80
27/06/2017,6,16,9,80
27/06/2017,6,16,29,80
27/06/2017,6,33,41,80
27/06/2017,6,71,27,80
27/06/2017,6,118,22,80
