timestamp,user_id,members,mentions,number_message
23/06/2017,56,81,0,11
23/06/2017,56,141,0,2
23/06/2017,59,5,0,2
23/06/2017,59,32,0,1
23/06/2017,59,50,0,18
23/06/2017,59,56,0,5
23/06/2017,59,63,0,2
23/06/2017,59,65,0,4
23/06/2017,62,17,0,1
23/06/2017,62,26,0,3
23/06/2017,62,83,0,4
23/06/2017,62,85,0,1
23/06/2017,63,6,0,1
23/06/2017,63,59,0,1
23/06/2017,63,69,0,3
23/06/2017,63,85,0,10
23/06/2017,65,59,0,2
23/06/2017,69,4,0,1
23/06/2017,69,6,0,3
23/06/2017,69,9,0,2
23/06/2017,69,14,0,3
23/06/2017,69,63,69,8
23/06/2017,69,83,0,6
23/06/2017,74,3,0,3
23/06/2017,74,53,0,7
23/06/2017,74,83,0,2
23/06/2017,74,85,0,9
23/06/2017,74,145 146,0,1
23/06/2017,78,4 6,4,2
23/06/2017,81,56,0,9
23/06/2017,83,17,0,2
23/06/2017,83,56,83,1
23/06/2017,83,62,0,3
23/06/2017,83,69,0,6
23/06/2017,83,74,0,1
23/06/2017,85,53,0,4
23/06/2017,85,62,0,2
23/06/2017,85,63,85,10
23/06/2017,85,74,0,16
23/06/2017,141,56,0,5
23/06/2017,141,83,0,1
23/06/2017,143,10,0,2
23/06/2017,143,154,143,3
23/06/2017,144,69,0,1
23/06/2017,145,74 146,74 145,3
23/06/2017,154,143,0,1
23/06/2017,154,10 143,0,4
24/06/2017,4,6,0,1
24/06/2017,4,10,0,1
24/06/2017,4,9 6,0,1
24/06/2017,9,4 6,0,1
24/06/2017,10,4,0,1
24/06/2017,14,53,0,5
24/06/2017,16,53,0,2
24/06/2017,16,56,0,3
24/06/2017,16,85,0,1
24/06/2017,17,4 9 6 53 62 26 83 141,62,1
24/06/2017,32,73,0,1
24/06/2017,33,81,0,13
24/06/2017,53,14,0,6
24/06/2017,53,16,0,6
24/06/2017,53,4 9 6 17 62 26 83 141,62,1
24/06/2017,56,16,0,7
24/06/2017,62,4 9 6 53 17 26 83 141,0,2
24/06/2017,73,32,0,1
24/06/2017,74,6,0,1
24/06/2017,81,33,0,9
24/06/2017,141,4 9 6 53 17 62 26 83,0,1
24/06/2017,143,154,143,17
24/06/2017,145,146,145,2
24/06/2017,154,143,0,18
25/06/2017,4,138,0,1
25/06/2017,4,50 138,0,1
25/06/2017,4,9 6,0,1
25/06/2017,4,9 6 53 17 62 26 83 141,83,1
25/06/2017,5,10,0,11
25/06/2017,6,9,6,1
25/06/2017,9,4 6,0,1
25/06/2017,10,5,0,16
25/06/2017,17,152,0,1
25/06/2017,69,83,0,2
25/06/2017,78,4 6,0,1
25/06/2017,138,4,0,2
25/06/2017,138,4 50,0,1
26/06/2017,3,4,0,1
26/06/2017,3,5,0,39
26/06/2017,3,10,3,27
26/06/2017,4,3,0,1
26/06/2017,4,10,0,3
26/06/2017,4,83,0,1
26/06/2017,5,3,0,32
26/06/2017,5,23,0,21
26/06/2017,5,47,0,21
26/06/2017,5,23 26,0,9
26/06/2017,6,4,0,1
26/06/2017,6,9,0,1
26/06/2017,6,74,0,1
26/06/2017,6,141,0,2
26/06/2017,6,4 17,0,1
26/06/2017,6,4 78,0,1
26/06/2017,6,4 9,0,1
26/06/2017,6,4 9 53 17 62 26 83 141,0,1
26/06/2017,9,6,0,1
26/06/2017,10,3,10,21
26/06/2017,10,4,0,3
26/06/2017,10,27,0,3
26/06/2017,10,143,0,5
26/06/2017,14,16,14,1
26/06/2017,14,53,0,4
26/06/2017,16,14,0,1
26/06/2017,16,53,0,3
26/06/2017,16,56,0,4
26/06/2017,16,74,0,3
26/06/2017,16,138,0,4
26/06/2017,17,4 9 6 53 62 26 83 141,4 17,2
26/06/2017,23,5,0,18
26/06/2017,23,26,0,10
26/06/2017,23,5 26,5 26,71
26/06/2017,26,23,0,27
26/06/2017,26,27,26,2
26/06/2017,26,51,0,4
26/06/2017,26,56,0,4
26/06/2017,26,59,0,1
26/06/2017,26,23 5,0,52
26/06/2017,27,10,0,9
26/06/2017,27,51,0,1
